text,label,subset
"This obligation, however, shall not extend to any of the following: A. Confidential Information which at the time of disclosure is in the public domain; B. Confidential Information which after generation or disclosure is published or otherwise becomes part of the public domain through no fault of the disclosing party (but only after and to the extent that it is published or otherwise becomes part of the public domain); C. Confidential Information which either party can show was in its possession at the time of generation or disclosure and was not acquired, directly or indirectly, from the other party or from a third party under obligation of confidence; D. Confidential Information which was received after the time of generation or disclosure hereunder, from a third party who did not require that party to hold it in confidence and who did not acquire it, directly or indirectly, form the other party under an obligation of confidence; and E. Confidential Information which Phoenix and Company can show was developed independently without benefit of, or based on information generated hereunder or made available by the other party.",Confidentiality Clause,train
"8.1.2. Clause 8.1 shall not apply to Confidential Information which  i) must be stored by Recipient according to provisions of mandatory law or  ii) was made as a matter of routine backup provided that such Confidential Information and copies thereof shall be subject to an indefinite confidential obligation according to the terms and conditions set forth herein until returned and/or destroyed, as the case may be. 9. OTHER PROVISIONS",Confidentiality Clause,test
"7. Each Respondent shall be entitled to disclose or make available any Information it receives from the ETI or any other Respondent to such of its employees, officers, consultants, sub-contractors, proposed sub-contractors, proposed funders, proposed owners or lessors of sites for the Project, owners or licensors of Third Party IP and professional advisers where such disclosure is necessary for the Purpose provided that all such persons to whom any Information is disclosed are bound by written obligations that are no less restrictive than those in this Agreement. ",Confidentiality Clause,test
"All copies of the Information, in documentary or other tangible form, shall be returned to the Delivering Party immediately upon the earlier to occur of:  (i) the abandonment of the Transaction; or  (ii) the written request of the Delivering Party; provided, however, that the Receiving Party may retain the Receiving Party’s Work Product, and any Information which it is required to retain pursuant to law, regulation, government regulatory authority, court order or legal process, as determined by the reasonably supported written opinion of its legal counsel, an original of which legal opinion shall be delivered to the Delivering Party (“Retained Information”). ",Confidentiality Clause,dev
"For purposes of this Agreement, ""Sensitive Information"" shall include all information or material that  has or could have commercial value or other utility in the business in which Disclosing Party is engaged  might lead to the security of the Disclosing Party’s physical or information assets or the safety of its staff and customers being compromised.",Confidentiality Clause,test
"1. “Proprietary Information,” as used herein, shall mean any and all samples, formula, methods, know-how, technology, software, material, engineering data, specifications, sketches, drawings, schematics, designs, manufacturing processes, test results, compilations, and any other material, information, ideas, concepts or knowledge which a party (the “Disclosing Party”) furnishes to another party (the “Receiving Party”):  (i) in written or other tangible form whether marked with a proprietary legend or not, or ",Confidentiality Clause,train
"3. Information does not include, however, information which  (a) is or becomes generally available to the public;  (b) was available to the Receiving Party on a non-confidential basis prior to its disclosure by the Providing Party;  (c) is independently developed by the Receiving Party; or  (d) becomes available to the Receiving Party on a non-confidential basis after the date hereof from a third party which was not known by the Receiving Party to be subject to a confidentiality agreement with the Providing Party and which is not otherwise prohibited from transmitting the information to the Receiving Party.",Confidentiality Clause,test
"2.1 Confidential Information shall mean: i) all technical, financial and business information disclosed by one Party to the other Party or by another Haldex Group entity to the Supplier including, but not limited to, documents, data, information, prototypes or components relating to devices, methods, materials, apparatus, designs, research, yields and specifications; and",Confidentiality Clause,test
"The term Information will not, however, include information which  (i) is or becomes generally available to the public other than as a result of a disclosure by the receiving Party or its Representatives that is prohibited by this Agreement;  (ii) is or becomes available to the receiving Party on a nonconfidential basis from a source which, to the best of its knowledge, is not known to be prohibited from disclosing such information to the receiving Party by a legal, contractual or fiduciary obligation to either Party;  (iii) was in possession of the receiving Party prior to the disclosure of the information pursuant to this Agreement, provided that the source of such information was not known by the receiving Party, after due inquiry, to be subject to an obligation not to disclose such information; or  (iv) is independently developed without reference to or use of the Information.",Confidentiality Clause,train
"4. There shall be no liability for disclosure or use of Confidential Information which is  (a) in the public domain through no fault of the receiving party  (b) rightfully received from a third party without any obligation of confidentiality,  (c) rightfully known to the receiving party without any limitation on use or disclosure prior to its receipt from the disclosing party,  (d) independently developed by the receiving party, ",Confidentiality Clause,dev
"1.1 “Confidential Information” means; all technical, commercial, procurement requirements, purchasing, manufacturing, customer lists, investors, employees, business and contractual relationships, business forecasts, sales and merchandising, and marketing plans business or personnel information disclosed or otherwise made available in any format and/or physical manner by Grindrod SA or becoming available, before, during and/or after the execution of an interaction, duty or obligation including all information that makes itself known to the Vendor or comes into being as a result of the rendering, production and/or delivery of an agreement/understanding/request for quotation/contract or Purchase Order, or any other interaction. ",Confidentiality Clause,train
"Recipient shall not use Confidential Information for the benefit of any other party, or disclose, publish, disseminate or copy Confidential Information or any part thereof, to any other person, corporation or other organization without, in each case, obtaining the prior written consent of FormFactor. ",Confidentiality Clause,train
"1.1 ""confidential information"" – is information which is confidential to FP and includes but is not limited to: 1.1.1 any information in respect of know-how, formulae, statistics, processes, systems, business methods, marketing, trading and merchandising methods and information, promotional and advertising plans and strategies, financial plans and models, inventions, long-term plans, research and development data, user or consumer data and profiles, ideas, computer programmes, drawings and any other information of a confidential nature of FP, in whatever form it may be; 1.1.2 the contractual business and financial arrangements between FP and other Parties with whom it has business arrangements of whatever nature; 1.1.3 all information peculiar to FP that is not readily available to a competitor of FP in the ordinary course of business; 1.1.4 the fact of and content of the discussions between the Parties referred to in 2.1 below as well as the existence and content of this agreement and any other agreement that the Parties hereto might conclude; 1.1.5 all other matters of a confidential nature that relate to FP's business; 1.1.6 generally, information that is disclosed in circumstances of confidence or would be understood by the Parties, exercising reasonable business judgement, to be confidential;",Confidentiality Clause,train
"Without the prior written consent of the other party or except as may be required by applicable law or regulation or other legal process, neither the Receiving Party or its Representatives nor the Company or its Company Representatives (defined below) shall disclose to any person that any discussions or negotiations are taking place between the parties concerning a possible Transaction, including the content and status of such discussions or negotiations (the “Discussion Information”). ",Confidentiality Clause,train
"The receiving Party shall not disclose or communicate Confidential Information to any third party, except as herein provided. ",Confidentiality Clause,train
"Notwithstanding the foregoing, the Company may retain such copies of the Confidential Information that reside on the Company’s back-up storage or archiving system, solely for document retention purposes and not for any other use, and for compliance purposes as required by law or to evidence compliance of Company’s obligations under this Agreement.",Confidentiality Clause,train
"5. All written data delivered by Owner to the Recipient pursuant to this Agreement shall be and remain the property of Owner, and all such written data, and all copies thereof, shall be promptly returned to Owner upon written request, or destroyed at Owner's option.",Confidentiality Clause,train
Receiving Party may disclose Confidential Information or Confidential Materials only to Receiving Party's employees or bona-fidae consultants on a need-to-know basis. ,Confidentiality Clause,train
"Each  Party may disclose the other Party’s Confidential Information to its directors, officers, members, managers, employees, legal advisors, and financial advisors (each bound by obligations of confidentiality consistent with this Agreement) who have bona fide need to know, but only to the extent necessary to carry out the Business Purpose. ",Confidentiality Clause,train
5.1 Each Party acknowledges and agrees that it shall not acquire by implication or otherwise any right or licence on or title to any Confidential Information communicated by or acquired from the other Party;,Confidentiality Clause,test
5. Information shall not be deemed Confidential Information and the receiving party shall have no obligation regarding any information for which it can be proven in written documentation  (a) is already known to the receiving party at the time that it is disclosed without use of the Confidential Information;  (b) is or becomes publicly known through no wrongful act contrary to this Agreement of the receiving party;  (c) is rightfully received from a third party without obligation of confidence or restriction on disclosure from receiving party and without breach of this Agreement;  (d) is independently developed by the receiving party without use of Confidential Information;  (f) is disclosed pursuant to a requirement of a valid court order provided that the Receiving Party provides  (i) prior written notice for the disclosing party of such obligation and ,Confidentiality Clause,train
"For purposes of this Agreement, ""Confidential Information"" shall mean the information, data, know-how, trade secrets, strategic and development plans, business plans, co-developer identities, data, business records, customer lists, any and all versions of software and related documentation, and all other information and documentation which is related to ImagicTV's DTV Manager System and NBTel's systems and operations which may be disclosed between each party or to which either party may be provided access by the other party or others in accordance with this Agreement, or which is generated as a result of or in connection with the Program, which is not generally available to the public.",Confidentiality Clause,train
"The Receiving Party shall not be entitled to copy any Confidential Information furnished by the Disclosing Party hereunder, unless and to the extent it is necessary for the purpose of this Agreement. ",Confidentiality Clause,dev
"8. Nothing in this Agreement shall restrict the right of the Receiving Party to use or disclose information that is: a. in the public domain at the time the Disclosing Party first disclosed it to the Receiving Party hereunder, or subsequently became publicly known through no wrongful act of the Receiving Party; b. known to the Receiving Party, other than through receipt under a separate non-disclosure agreement or similar agreement, prior to receipt under this agreement disclosed to the Receiving Party without restriction by a third party who had the lawful right to disclose such information; c. independently developed by the Receiving Party without the use of or reference to Proprietary Information; or d. required to be disclosed by judicial process, provided that the Receiving Party promptly provides notice of such process to the Disclosing Party and cooperates with any efforts of the Disclosing Party to contest disclosure, limits disclosure to the extent strictly required, and otherwise continues to protect such information as Proprietary Information until such time as one of the foregoing exceptions  (a) through  (d) are satisfied.",Confidentiality Clause,train
The Company shall: 2.1.1  Use the Confidential Information solely for the Purpose as set out above;,Confidentiality Clause,train
"Upon receiving a written request from the disclosing party, the receiving party shall cease to use the Confidential Information disclosed to it and shall promptly thereafter return to the disclosing party all written or otherwise documented Confidential Information disclosed to it pursuant to this Agreement, except that one copy of all such Confidential Information may be kept for archival purposes and for the purpose of defending against any lawsuits brought by the disclosing party against the Recipient.",Confidentiality Clause,train
"Each of the parties agrees that it shall disclose Confidential Information of the other party only to those of its employees, consultants, advisors and investors who need to know such information and who have previously agreed, either as a condition to employment or in order to obtain the Confidential Information, to be bound by terms and conditions substantially similar to those of this Agreement.",Confidentiality Clause,dev
"The Receiving Party:  (a) shall take all reasonable steps (defined below) to keep all Confidential Information strictly confidential;  (b) shall not disclose or reveal any Confidential Information to any person other than its Representatives who are actively and directly participating in the Evaluation or who otherwise need to know the Confidential Information for the purpose of the Evaluation;  (c) shall not use Confidential Information for any purpose other than in connection with the Evaluation; and  (d) shall not disclose to any person (other than those of its Representatives who are actively and directly participating in the Evaluation or who otherwise need to know for the purpose of the Evaluation) any information about the Evaluation, or the terms or conditions or any other facts relating thereto, including, without limitation, the fact that discussions are taking place with respect thereto or the status thereof, or the fact that Confidential Information has been made available to the Receiving Party or its Representatives. ",Confidentiality Clause,train
"Confidential Information does not include information that: i. Is lawfully in the public domain at the time it was transmitted; ii. Is independently known to or in possession of the receiving party at the time of receipt through no unlawful act; iii. Is disclosed by the receiving party with the prior written approval of the transmitting party; iv. Becomes known to the receiving party from a source other than the transmitting party, which third party legally is entitled to have and to disclose such information without restriction.",Confidentiality Clause,train
This obligation of confidentiality and non-use does not apply to information which: 1. Was in our possession before the Inventor disclosed it to me/us. 2. Is made publicly available after its disclosure to me/us other than by any act or omission by us. 3. Becomes known to us after its disclosure by  (b) (Inventor’s name) from a third party who is under no obligation of confidentiality to  (b) (Inventor’s name),Confidentiality Clause,test
"(a) The term “Information” means (i) all financial, technical and other non-public or proprietary information which is furnished or disclosed orally, in writing, electronically or in other form or media by Disclosing Party and/or its Representatives to Recipient and/or its Representatives in connection with the Purpose and that is described or identified (at the time of disclosure) as being non-public, confidential or proprietary, or the non-public or proprietary nature of which is apparent from the context of the disclosure or the contents or nature of the information disclosed;",Confidentiality Clause,test
